TimeStamp,W01,W02,W03,W1_0,W1_1,W1_2,W1_3,W1_4,W1_5,W2_0,W2_1,W2_2,W2_3,W2_4,W2_5,W3_0,W3_1,W3_2,W3_3,W3_4,W3_5
38,-0.296515614,-0.287708312,-0.235590875,-0.296515614,0.738493025,1.11422658,0.924338102,-0.376049668,-0.04383352,-0.287708312,0.885447621,1.342868805,1.301428914,-0.485896498,-0.079108022,-0.235590875,1.062398195,1.624114513,1.708279014,-0.700542033,-0.171141222
39,-0.27168113,-0.279626548,-0.290457219,-0.27168113,0.738738775,1.089346647,1.043223381,-0.360191971,-0.042931918,-0.279626548,0.891522169,1.303967953,1.20142591,-0.471937507,-0.066993907,-0.290457219,1.060124159,1.60245645,1.692663908,-0.710953712,-0.176460132
40,-0.277075887,-0.272735178,-0.214144677,-0.277075887,0.759140372,1.106582165,1.013621211,-0.347088009,-0.042841401,-0.272735178,0.889421225,1.264108419,1.336349487,-0.49788633,-0.050457027,-0.214144677,1.044671416,1.622997165,1.637611628,-0.667547047,-0.18661952
41,-0.255505741,-0.276316255,-0.209518984,-0.255505741,0.746891499,1.10443604,0.99382174,-0.375071704,-0.048341911,-0.276316255,0.856345892,1.303580284,1.313360095,-0.451639622,-0.092332855,-0.209518984,1.107599378,1.539845109,1.581710458,-0.606506646,-0.1788041
42,-0.255685508,-0.238800779,-0.243157923,-0.255685508,0.745921612,1.112964749,1.010329723,-0.390205532,-0.082918532,-0.238800779,0.870042503,1.29240036,1.251808524,-0.47012797,-0.111520313,-0.243157923,1.119132161,1.588107705,1.625053048,-0.652112067,-0.155434385
43,-0.243134186,-0.242707193,-0.238102108,-0.243134186,0.754761636,1.154832959,1.004579306,-0.38833046,-0.091016211,-0.242707193,0.871959805,1.340172172,1.319573164,-0.478141785,-0.114627279,-0.238102108,1.125078917,1.61841774,1.654342771,-0.684232652,-0.172594056
44,-0.268625051,-0.232991919,-0.222113669,-0.268625051,0.746272802,1.115652919,0.989346862,-0.395947725,-0.137629271,-0.232991919,0.851480901,1.369931936,1.276328921,-0.485395938,-0.129529133,-0.222113669,1.106720209,1.662467003,1.671057701,-0.71788913,-0.165856928
45,-0.26660651,-0.227317482,-0.229825199,-0.26660651,0.739432275,1.098975778,1.008552194,-0.397242755,-0.142629623,-0.227317482,0.8537817,1.354428887,1.283204675,-0.489052594,-0.132457554,-0.229825199,1.117849469,1.663308144,1.635185838,-0.715438545,-0.153445378
46,-0.255866438,-0.267062038,-0.21858418,-0.255866438,0.762179315,1.110585093,0.990140498,-0.394665211,-0.135226294,-0.267062038,0.883618355,1.329177141,1.316774845,-0.495173693,-0.136501774,-0.21858418,1.094920993,1.656955719,1.628020883,-0.729593575,-0.161367297
47,-0.249069303,-0.237762034,-0.218598291,-0.249069303,0.764747083,1.103603005,0.953957498,-0.373594642,-0.127156422,-0.237762034,0.875384033,1.353155613,1.327762485,-0.511966109,-0.129440561,-0.218598291,1.11157155,1.671900749,1.602672338,-0.699231863,-0.169323981
48,-0.249010086,-0.21220389,-0.218561292,-0.249010086,0.841042221,1.017006516,0.936847389,-0.323999375,-0.148537904,-0.21220389,0.868465006,1.324633718,1.236388087,-0.465320408,-0.141315177,-0.218561292,1.085620761,1.670124769,1.555177569,-0.715823174,-0.149299279
49,-0.259507,-0.230825186,-0.208324447,-0.259507,0.852018118,1.061174631,0.956852198,-0.35545814,-0.150721833,-0.230825186,0.934475064,1.249271274,1.22859621,-0.42858845,-0.133279219,-0.208324447,1.146303535,1.686333895,1.539696574,-0.706483543,-0.15079914
50,-0.252030581,-0.264491051,-0.229026809,-0.252030581,0.847930431,1.105234265,0.964382887,-0.3877545,-0.142669871,-0.264491051,0.921588838,1.306297302,1.284964561,-0.467595816,-0.12337777,-0.229026809,1.152747035,1.710179448,1.461500764,-0.585945129,-0.150811285
51,-0.241080344,-0.25683412,-0.27950877,-0.241080344,0.862096369,1.120328426,0.946025372,-0.406966031,-0.138467282,-0.25683412,0.93663615,1.340927362,1.278288126,-0.505605876,-0.113783531,-0.27950877,1.187838435,1.750044942,1.257972717,-0.415405273,-0.154211983
52,-0.231999889,-0.248896629,-0.275979251,-0.231999889,0.856372535,1.121554732,0.947344422,-0.399648219,-0.148271844,-0.248896629,0.907821417,1.355645299,1.257490158,-0.503005683,-0.116558805,-0.275979251,1.210327148,1.706630111,1.194427371,-0.351287037,-0.138151705
53,-0.221107736,-0.242707342,-0.285945415,-0.221107736,0.867587209,1.143106222,0.935610294,-0.371203631,-0.143189728,-0.242707342,0.919892669,1.360671163,1.233946323,-0.505254447,-0.113652326,-0.285945415,1.262507558,1.736745238,1.135362625,-0.373153985,-0.129465029
54,-0.217884272,-0.214979976,-0.274845719,-0.217884272,0.871005774,1.133325696,0.91447866,-0.360008568,-0.136441693,-0.214979976,0.902325749,1.37273705,1.231413841,-0.515947342,-0.121742874,-0.274845719,1.357997894,1.711058259,1.087235808,-0.372437179,-0.120508246
55,-0.213888898,-0.215664715,-0.26886338,-0.213888898,0.863224924,1.140368462,0.907289028,-0.366940439,-0.134812266,-0.215664715,0.888080418,1.393349171,1.214330196,-0.481919914,-0.134764567,-0.26886338,1.455081582,1.621174574,1.088190794,-0.333221257,-0.103261463
56,-0.225708783,-0.194988176,-0.299599737,-0.225708783,0.915940762,1.125756264,0.877668023,-0.347355753,-0.143107444,-0.194988176,0.93307817,1.367494583,1.217226744,-0.491874099,-0.114420183,-0.299599737,1.567355394,1.658124924,1.062378407,-0.358186543,-0.090791062
57,-0.278642654,-0.228431016,-0.2708579,-0.278642654,0.945672393,1.180601001,0.781105042,-0.181398332,-0.134001598,-0.228431016,0.958827794,1.370124936,1.187838078,-0.479809999,-0.11135038,-0.2708579,1.672009349,1.60738492,1.076605439,-0.276447117,-0.050402518
58,-0.280892432,-0.266203105,-0.279272139,-0.280892432,0.96684134,1.186686635,0.601822615,-0.084583737,-0.133025169,-0.266203105,0.9536165,1.420470357,1.075658321,-0.315835238,-0.10971541,-0.279272139,1.804834962,1.611846924,1.056959271,-0.289040804,-0.021726493
59,-0.241394669,-0.277883232,-0.317374468,-0.241394669,1.022140503,1.156594992,0.569289446,-0.060036123,-0.129481062,-0.277883232,0.999936044,1.430633664,0.890199304,-0.2064621,-0.110568933,-0.317374468,1.887762427,1.581285715,1.081248283,-0.319294512,0.011486436
60,-0.268579572,-0.253153414,-0.320062995,-0.268579572,1.102349997,1.186876416,0.532296479,-0.058410421,-0.104889371,-0.253153414,1.039983153,1.396364808,0.831833124,-0.185052693,-0.094034426,-0.320062995,1.945867538,1.620886445,1.039969325,-0.262709975,0.055925149
61,-0.26820159,-0.280103505,-0.298788875,-0.26820159,1.152853847,1.159286737,0.464630246,-0.061926708,-0.098402701,-0.280103505,1.117726088,1.428592205,0.784134805,-0.213979155,-0.096467748,-0.298788875,1.946427345,1.620548844,1.074767709,-0.240848497,0.082732178
62,-0.288459212,-0.289637506,-0.296308339,-0.288459212,1.227439523,1.170702934,0.497172266,-0.046673194,-0.065542042,-0.289637506,1.184341311,1.403834939,0.726405919,-0.191062108,-0.075988948,-0.296308339,2.036442757,1.671742439,1.02398622,-0.245954618,0.021065552
63,-0.289855838,-0.263656288,-0.301364005,-0.289855838,1.283412099,1.16199708,0.486703336,-0.010289278,-0.037013683,-0.263656288,1.305775404,1.397817731,0.756254435,-0.184454501,-0.057199571,-0.301364005,2.046989441,1.625566959,1.046743393,-0.238896728,-0.016366549
64,-0.294623256,-0.277129531,-0.350178748,-0.294623256,1.37080133,1.13420248,0.461836636,-0.015037943,-0.011292554,-0.277129531,1.402269483,1.374713659,0.730094075,-0.147522584,-0.031409699,-0.350178748,2.057694912,1.622642636,1.098049879,-0.251383156,-0.016846826
65,-0.291598678,-0.272864074,-0.304233074,-0.291598678,1.389861941,1.154914379,0.48807925,0.019576017,0.029026542,-0.272864074,1.507639289,1.388361931,0.712606907,-0.102148205,-0.003712538,-0.304233074,2.084945202,1.598175883,1.05235517,-0.216103896,-0.018786706
66,-0.285519481,-0.278600991,-0.303165734,-0.285519481,1.431235552,1.089744568,0.43851772,-0.000147354,0.060999971,-0.278600991,1.561959028,1.325353146,0.719606817,-0.118765734,0.012952225,-0.303165734,2.054381609,1.533249617,1.091875553,-0.270041108,-0.0099202
67,-0.269458205,-0.277976751,-0.331558377,-0.269458205,1.434169292,1.128419161,0.472831517,0.006058633,0.094283201,-0.277976751,1.63591373,1.330168486,0.71099329,-0.117592335,0.060017455,-0.331558377,2.031810045,1.549488425,1.106965542,-0.190474108,0.035311088
68,-0.314326942,-0.275188029,-0.316393495,-0.314326942,1.464460611,1.146115422,0.435507476,0.009361397,0.10628742,-0.275188029,1.632113218,1.295076728,0.725410521,-0.082562283,0.082713664,-0.316393495,2.009960651,1.609933138,1.084810376,-0.207702041,0.066883616
69,-0.294183701,-0.280121297,-0.335829645,-0.294183701,1.481525183,1.114348054,0.513955712,0.002061483,0.032000445,-0.280121297,1.678852677,1.324623823,0.669945419,-0.101388693,0.123748153,-0.335829645,2.021160364,1.623342752,1.036725283,-0.150592566,0.086968407
70,-0.313432872,-0.29829061,-0.292824626,-0.313432872,1.54314661,1.118082047,0.491017759,0.038524777,-0.013355262,-0.29829061,1.699402332,1.376355171,0.789907455,-0.060727041,0.036725372,-0.292824626,1.990256429,1.583908081,1.022342682,-0.152463913,0.062935151
71,-0.305624723,-0.3225981,-0.321676403,-0.305624723,1.519676805,1.112734318,0.457860351,0.000621721,-0.035269082,-0.3225981,1.744211912,1.324698091,0.761856198,-0.042029042,-0.003532252,-0.321676403,2.033753872,1.561438203,1.071095228,-0.194654495,0.061451562
